Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","150","00","0015925",,,,,"06","037",,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011101","Block Group 1",,,,1630,9438.035,0.172705433384247
"060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","150","00","0015926",,,,,"06","037",,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011102","Block Group 2",,,,1492,10903.52,0.136836541327605
"060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","150","00","0015927",,,,,"06","037",,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011103","Block Group 3",,,,757,5754.836,0.131541536099781
"060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","150","00","0015928",,,,,"06","037",,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011221","Block Group 1",,,,2608,4248.138,0.613915971811452
"060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","150","00","0015929",,,,,"06","037",,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011222","Block Group 2",,,,1639,4027.467,0.406955553462024
"060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","150","00","0015930",,,,,"06","037",,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012201","Block Group 1",,,,1283,10005.37,0.12823109605141
"060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","150","00","0015931",,,,,"06","037",,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012202","Block Group 2",,,,2300,16241.76,0.141610308619191
"060371012211","Block Group 1, Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","150","00","0015932",,,,,"06","037",,,"101221","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012211","Block Group 1",,,,930,15863.75,0.0586242098418989
"060371012212","Block Group 2, Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","150","00","0015933",,,,,"06","037",,,"101221","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012212","Block Group 2",,,,2793,35750.54,0.0781246862919828
"060371012221","Block Group 1, Census Tract 1012.22, Los Angeles County, California","ACSSF","ca","150","00","0015934",,,,,"06","037",,,"101222","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012221","Block Group 1",,,,2690,23496.75,0.114483928110864
"060371013001","Block Group 1, Census Tract 1013, Los Angeles County, California","ACSSF","ca","150","00","0015935",,,,,"06","037",,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013001","Block Group 1",,,,1054,1977.399,0.533023319026961
"060371013002","Block Group 2, Census Tract 1013, Los Angeles County, California","ACSSF","ca","150","00","0015936",,,,,"06","037",,,"101300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013002","Block Group 2",,,,1010,4171.824,0.242100349499689
"060371013003","Block Group 3, Census Tract 1013, Los Angeles County, California","ACSSF","ca","150","00","0015937",,,,,"06","037",,,"101300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013003","Block Group 3",,,,1083,9317.556,0.116232198759222
"060371013004","Block Group 4, Census Tract 1013, Los Angeles County, California","ACSSF","ca","150","00","0015938",,,,,"06","037",,,"101300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013004","Block Group 4",,,,921,8773.743,0.104972301029966
"060371014001","Block Group 1, Census Tract 1014, Los Angeles County, California","ACSSF","ca","150","00","0015939",,,,,"06","037",,,"101400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371014001","Block Group 1",,,,839,9450.702,0.0887764730956282
"060371014002","Block Group 2, Census Tract 1014, Los Angeles County, California","ACSSF","ca","150","00","0015940",,,,,"06","037",,,"101400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371014002","Block Group 2",,,,1251,614.5623,2.03559514561457
"060371014003","Block Group 3, Census Tract 1014, Los Angeles County, California","ACSSF","ca","150","00","0015941",,,,,"06","037",,,"101400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371014003","Block Group 3",,,,1282,4109.571,0.311954727203369
"060371021031","Block Group 1, Census Tract 1021.03, Los Angeles County, California","ACSSF","ca","150","00","0015942",,,,,"06","037",,,"102103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021031","Block Group 1",,,,1767,3857.202,0.458104052991751
"060371021041","Block Group 1, Census Tract 1021.04, Los Angeles County, California","ACSSF","ca","150","00","0015943",,,,,"06","037",,,"102104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021041","Block Group 1",,,,3227,11240.02,0.287099013586163
"060371021042","Block Group 2, Census Tract 1021.04, Los Angeles County, California","ACSSF","ca","150","00","0015944",,,,,"06","037",,,"102104","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021042","Block Group 2",,,,776,2196.611,0.353271520949132
"060371021051","Block Group 1, Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","150","00","0015945",,,,,"06","037",,,"102105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021051","Block Group 1",,,,748,7277.27,0.102785804412993
"060371021052","Block Group 2, Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","150","00","0015946",,,,,"06","037",,,"102105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021052","Block Group 2",,,,926,10586.45,0.0874702894376345
"060371021071","Block Group 1, Census Tract 1021.07, Los Angeles County, California","ACSSF","ca","150","00","0015947",,,,,"06","037",,,"102107","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021071","Block Group 1",,,,2451,764.718,3.20510288078555
"060371021072","Block Group 2, Census Tract 1021.07, Los Angeles County, California","ACSSF","ca","150","00","0015948",,,,,"06","037",,,"102107","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021072","Block Group 2",,,,1469,825.7822,1.77891943900898
"060371031011","Block Group 1, Census Tract 1031.01, Los Angeles County, California","ACSSF","ca","150","00","0015949",,,,,"06","037",,,"103101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031011","Block Group 1",,,,1384,2037.067,0.679408167142087
"060371031012","Block Group 2, Census Tract 1031.01, Los Angeles County, California","ACSSF","ca","150","00","0015950",,,,,"06","037",,,"103101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031012","Block Group 2",,,,1097,10517.3,0.104304344267232
"060371031021","Block Group 1, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015951",,,,,"06","037",,,"103102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031021","Block Group 1",,,,892,8672.247,0.102856847213192
"060371031022","Block Group 2, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015952",,,,,"06","037",,,"103102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031022","Block Group 2",,,,609,7001.957,0.0869756925514713
"060371031023","Block Group 3, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015953",,,,,"06","037",,,"103102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031023","Block Group 3",,,,1374,13536.83,0.101500856374624
"060371031024","Block Group 4, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015954",,,,,"06","037",,,"103102","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031024","Block Group 4",,,,935,14854.04,0.0629458514865706
"060371031025","Block Group 5, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015955",,,,,"06","037",,,"103102","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031025","Block Group 5",,,,882,7062.512,0.124884748500765
"060371032011","Block Group 1, Census Tract 1032.01, Los Angeles County, California","ACSSF","ca","150","00","0015956",,,,,"06","037",,,"103201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371032011","Block Group 1",,,,1978,9992.405,0.197950337993844
"060371032012","Block Group 2, Census Tract 1032.01, Los Angeles County, California","ACSSF","ca","150","00","0015957",,,,,"06","037",,,"103201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371032012","Block Group 2",,,,2201,3952.96,0.556797946554193
"060371032021","Block Group 1, Census Tract 1032.02, Los Angeles County, California","ACSSF","ca","150","00","0015958",,,,,"06","037",,,"103202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371032021","Block Group 1",,,,2082,1138.01,1.8295092486915
"060371033001","Block Group 1, Census Tract 1033, Los Angeles County, California","ACSSF","ca","150","00","0015959",,,,,"06","037",,,"103300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371033001","Block Group 1",,,,1717,1549.258,1.10827231631961
"060371033002","Block Group 2, Census Tract 1033, Los Angeles County, California","ACSSF","ca","150","00","0015960",,,,,"06","037",,,"103300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371033002","Block Group 2",,,,2125,1682.302,1.26314986787584
"060371034011","Block Group 1, Census Tract 1034.01, Los Angeles County, California","ACSSF","ca","150","00","0015961",,,,,"06","037",,,"103401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034011","Block Group 1",,,,2643,4883.813,0.541175480349716
"060371034021","Block Group 1, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015962",,,,,"06","037",,,"103402","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034021","Block Group 1",,,,1107,8396.148,0.131846170715849
"060371034022","Block Group 2, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015963",,,,,"06","037",,,"103402","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034022","Block Group 2",,,,534,5758.045,0.0927398119219085
"060371034023","Block Group 3, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015964",,,,,"06","037",,,"103402","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034023","Block Group 3",,,,857,8486.342,0.100985796073186
"060371034024","Block Group 4, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015965",,,,,"06","037",,,"103402","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034024","Block Group 4",,,,1404,14210.68,0.0987989133540387
