,stopid,stopname,geometry
1632,355358.0,Anaheim St & Fries Ave (Eastbound),POINT (-118.26526343800009 33.77971917500006)
1600,354962.0,Anaheim St & Fries Ave (Westbound),POINT (-118.26511457600009 33.77989529700008)
1599,354957.0,Anaheim St & Avalon Blvd (Westbound),POINT (-118.26278641800008 33.78001234100007)
1633,355370.0,Avalon Blvd & Anaheim St (Northbound),POINT (-118.26237201700006 33.780297703000066)
1634,355380.0,Avalon Blvd & Opp St (Northbound),POINT (-118.26255843000007 33.7827154390001)
1598,354946.0,Avalon Blvd & Opp St (Southbound),POINT (-118.2627461850001 33.78303088700009)
1597,354937.0,Avalon Blvd & L St (Southbound),POINT (-118.26299831300007 33.78624550100009)
1617,355176.0,Avalon Blvd & L St (Northbound),POINT (-118.26285414400007 33.78697222700007)
1616,355154.0,L St & Banning Blvd (Westbound),POINT (-118.25830176500004 33.78699897800007)
1615,355148.0,L St & Eubank Ave (Westbound),POINT (-118.25615331500006 33.787118241000066)
1614,355134.0,L St & Sanford Ave (Westbound),POINT (-118.25028464200007 33.787433673000095)
1613,355120.0,Watson Ave & Robidoux St (Southbound),POINT (-118.24791893400011 33.788196057000086)
1612,355103.0,Pacific Coast Hwy & Watson Ave (Eastbound),POINT (-118.24825823300004 33.79081084600009)
1593,357584.0,120th St & Central Ave (Eastbound),POINT (-118.25459092900006 33.923657446000085)
1485,356518.0,120th St & Central Ave (Westbound),POINT (-118.2540987430001 33.923796549000066)
1618,355183.0,Avalon Blvd & M St (Northbound),POINT (-118.26302111100006 33.78911001600008)
1610,355068.0,Pacific Coast Hwy & Avalon Blvd (Eastbound),POINT (-118.2636111970001 33.79103264300008)
1619,355196.0,Pacific Coast Hwy & Avalon Blvd (Westbound),POINT (-118.26378285900006 33.7912009400001)
1611,355084.0,Pacific Coast Hwy & Eubank Ave (Eastbound),POINT (-118.25635716300008 33.79147512000006)
1592,357577.0,120th St & Wadsworth Ave (Eastbound),POINT (-118.25866788600007 33.92364409200011)
1591,357568.0,120th St & Avalon Blvd (Eastbound),POINT (-118.2647819820001 33.923648544000095)
1487,356535.0,120th St & Avalon Blvd (Westbound),POINT (-118.26494023200007 33.9237776310001)
1486,356527.0,120th St & Wadsworth Ave (Westbound),POINT (-118.25846001500008 33.92379321100007)
1488,356550.0,Avalon Blvd & Green Line Station (Northbound),POINT (-118.26507031900007 33.927277387000096)
1590,357551.0,Avalon Blvd & Green Line Station (Southbound),POINT (-118.26528757800008 33.92728295100009)
1542,357072.0,Mona Blvd & Imperial Hwy (Northbound),POINT (-118.23036521700008 33.929269234000095)
1536,356995.0,Mona Blvd & 115th St (Southbound),POINT (-118.23055565400004 33.9298523140001)
1543,357077.0,Mona Blvd & 115th St (Northbound),POINT (-118.23065087200007 33.93069688200009)
1587,357516.0,Impterial Hwy & Central Ave (Westbound),POINT (-118.25481623400009 33.92957078900006)
1491,356593.0,Central Ave & Imperial Hwy (Northbound),POINT (-118.25414434100007 33.929960250000114)
1586,357508.0,Central Ave & 114th St (Southbound),POINT (-118.25436696400008 33.9310907880001)
1492,356597.0,Central Ave & 114th St (Northbound),POINT (-118.25412556500011 33.931301093000094)
1585,357501.0,Central Ave & 112th St (Southbound),POINT (-118.2543455060001 33.93328617000006)
1493,356603.0,Central Ave & 112th St (Northbound),POINT (-118.25410544900005 33.9336155290001)
1494,356608.0,Central Ave & Lanzit Ave (Northbound),POINT (-118.25408533200009 33.934965216000116)
1584,357494.0,Central Ave & Lanzit Ave (Southbound),POINT (-118.25433209500005 33.9353435250001)
1583,357483.0,Central Ave & 108th St (Southbound),POINT (-118.25429320300009 33.93788371600008)
1589,357540.0,Avalon Blvd & Imperial Hwy (Southbound),POINT (-118.26524198100007 33.930672402000056)
1588,357524.0,Impterial Hwy & 114th St (Westbound),POINT (-118.2579302790001 33.93071913600008)
1489,356559.0,Avalon Blvd & Imperial Hwy (Northbound),POINT (-118.26507300100009 33.930851551000075)
1490,356571.0,Imperial Hwy & Wadsworth Ave (Eastbound),POINT (-118.25874164700008 33.930851551000075)
1582,357471.0,108th St & Wadsworth Ave (Eastbound),POINT (-118.2587859030001 33.93820860600008)
1581,357467.0,108th St & McKinley Ave (Eastbound),POINT (-118.26047703600005 33.938228634000076)
1580,357458.0,108th St & Avalon Blvd (Eastbound),POINT (-118.26477125300012 33.93824198500008)
1496,356629.0,108th St & Wadsworth Ave (Westbound),POINT (-118.25854316400006 33.93835324900007)
1497,356635.0,108th St & McKinley Ave (Westbound),POINT (-118.2611757520001 33.938369938000086)
1498,356642.0,108th St & Avalon Blvd (Westbound),POINT (-118.26456204100008 33.93837995200008)
1495,356621.0,108th St & Central Ave (Westbound),POINT (-118.2545949520001 33.938345460000086)
1525,356907.0,103rd St & Granham Ave (Eastbound),POINT (-118.24276104600004 33.94314967100011)
